,name,loss,acc,iteration,iteration_time,event
189,DeepSITH_Tracker,0.07793562422415067,0.9492638151148171,189,0 days 00:00:02.919321000,HandStart
190,DeepSITH_Tracker,0.08389685022432739,0.9473709862716889,190,0 days 00:00:02.909274000,HandStart
191,DeepSITH_Tracker,0.09889313695198688,0.9481503081655941,191,0 days 00:00:02.911373000,HandStart
192,DeepSITH_Tracker,0.09647927263541928,0.9472261028845766,192,0 days 00:00:02.925378000,HandStart
193,DeepSITH_Tracker,0.10154816304623011,0.949499845751533,193,0 days 00:00:02.912873000,HandStart
194,DeepSITH_Tracker,0.09376910467344282,0.9502740269122768,194,0 days 00:00:02.910942000,HandStart
195,DeepSITH_Tracker,0.07603939698538663,0.9503710255326862,195,0 days 00:00:02.924819000,HandStart
196,DeepSITH_Tracker,0.07495606108339045,0.9501301595890209,196,0 days 00:00:02.915290000,HandStart
197,DeepSITH_Tracker,0.0966332985566996,0.9511065678519807,197,0 days 00:00:02.933268000,HandStart
198,DeepSITH_Tracker,0.0915289340240345,0.9503633730631743,198,0 days 00:00:02.916574000,HandStart
199,DeepSITH_Tracker,0.07429963307020591,0.9511635975858065,199,0 days 00:00:02.914954000,HandStart
0,DeepSITH_Tracker,0.5663033434304323,0.5409848191918286,0,0 days 00:00:03.002996000,FirstDigitTouch
1,DeepSITH_Tracker,0.545722645616555,0.6694618234018163,1,0 days 00:00:02.917671000,FirstDigitTouch
2,DeepSITH_Tracker,0.5333639056917309,0.765054075111317,2,0 days 00:00:02.915028000,FirstDigitTouch
3,DeepSITH_Tracker,0.5254095067782738,0.8320039370780231,3,0 days 00:00:02.913740000,FirstDigitTouch
4,DeepSITH_Tracker,0.5168863751331615,0.875697660850304,4,0 days 00:00:02.915383000,FirstDigitTouch
5,DeepSITH_Tracker,0.503026253102459,0.9030182123627931,5,0 days 00:00:02.913741000,FirstDigitTouch
6,DeepSITH_Tracker,0.4903686985006764,0.9187113665005527,6,0 days 00:00:02.919878000,FirstDigitTouch
7,DeepSITH_Tracker,0.4784711677397893,0.9279054870958255,7,0 days 00:00:02.911508000,FirstDigitTouch
8,DeepSITH_Tracker,0.4689922377634073,0.937334731927819,8,0 days 00:00:02.914261000,FirstDigitTouch
9,DeepSITH_Tracker,0.468665938851642,0.9424687734617875,9,0 days 00:00:02.919569000,FirstDigitTouch
10,DeepSITH_Tracker,0.4540166224810947,0.9472011752124242,10,0 days 00:00:02.912554000,FirstDigitTouch
11,DeepSITH_Tracker,0.43993873852644466,0.9511851432361448,11,0 days 00:00:02.930911000,FirstDigitTouch
12,DeepSITH_Tracker,0.43095624562396895,0.9522802728667009,12,0 days 00:00:02.919990000,FirstDigitTouch
13,DeepSITH_Tracker,0.4269961703477524,0.9534870928186768,13,0 days 00:00:02.916827000,FirstDigitTouch
14,DeepSITH_Tracker,0.42548099555783103,0.9555195805088436,14,0 days 00:00:02.924524000,FirstDigitTouch
15,DeepSITH_Tracker,0.41436196194933894,0.956492174741249,15,0 days 00:00:02.909565000,FirstDigitTouch
16,DeepSITH_Tracker,0.40126893712529416,0.9578601696956083,16,0 days 00:00:02.917998000,FirstDigitTouch
17,DeepSITH_Tracker,0.39016707647478166,0.9595571471715069,17,0 days 00:00:02.923335000,FirstDigitTouch
18,DeepSITH_Tracker,0.38508388004893,0.9609174272946469,18,0 days 00:00:02.917397000,FirstDigitTouch
19,DeepSITH_Tracker,0.3861646469858325,0.9604002061093967,19,0 days 00:00:02.917327000,FirstDigitTouch
20,DeepSITH_Tracker,0.37899434697620543,0.9621317406271408,20,0 days 00:00:02.909644000,FirstDigitTouch
21,DeepSITH_Tracker,0.3622279886445974,0.9630493637590195,21,0 days 00:00:02.915778000,FirstDigitTouch
22,DeepSITH_Tracker,0.35512711033540756,0.9631522237177917,22,0 days 00:00:02.916939000,FirstDigitTouch
23,DeepSITH_Tracker,0.35673092869896444,0.9646464468514022,23,0 days 00:00:02.909304000,FirstDigitTouch
24,DeepSITH_Tracker,0.355416763214137,0.964341809711807,24,0 days 00:00:02.915861000,FirstDigitTouch
25,DeepSITH_Tracker,0.348865328895218,0.9649364018906087,25,0 days 00:00:02.916199000,FirstDigitTouch
26,DeepSITH_Tracker,0.33202391309873436,0.9661600149013795,26,0 days 00:00:02.913900000,FirstDigitTouch
27,DeepSITH_Tracker,0.3220918978956242,0.9672381093676196,27,0 days 00:00:02.916433000,FirstDigitTouch
28,DeepSITH_Tracker,0.3195937955107748,0.9677093215546262,28,0 days 00:00:02.910687000,FirstDigitTouch
29,DeepSITH_Tracker,0.323024015071122,0.9684973419051864,29,0 days 00:00:02.920782000,FirstDigitTouch
30,DeepSITH_Tracker,0.31979228986339914,0.9688472344724461,30,0 days 00:00:02.914673000,FirstDigitTouch
31,DeepSITH_Tracker,0.3016705807455791,0.9696649479530453,31,0 days 00:00:02.912401000,FirstDigitTouch
32,DeepSITH_Tracker,0.29665660865898147,0.970152390929636,32,0 days 00:00:02.919602000,FirstDigitTouch
33,DeepSITH_Tracker,0.30089760983680486,0.9710806483705694,33,0 days 00:00:02.916185000,FirstDigitTouch
34,DeepSITH_Tracker,0.30217630503542875,0.9711522262631828,34,0 days 00:00:02.930148000,FirstDigitTouch
35,DeepSITH_Tracker,0.29697401502483406,0.9729816836900925,35,0 days 00:00:02.908859000,FirstDigitTouch
36,DeepSITH_Tracker,0.2786905042740231,0.9737977507235286,36,0 days 00:00:02.914565000,FirstDigitTouch
37,DeepSITH_Tracker,0.27021055337561967,0.973748016650766,37,0 days 00:00:02.925411000,FirstDigitTouch
38,DeepSITH_Tracker,0.2692281371330859,0.974295528201106,38,0 days 00:00:02.906146000,FirstDigitTouch
39,DeepSITH_Tracker,0.2750043809062707,0.9744292268972026,39,0 days 00:00:02.922571000,FirstDigitTouch
40,DeepSITH_Tracker,0.2735203806993228,0.9756305956295636,40,0 days 00:00:02.913933000,FirstDigitTouch
41,DeepSITH_Tracker,0.25485397307787777,0.9755882725244583,41,0 days 00:00:02.911945000,FirstDigitTouch
42,DeepSITH_Tracker,0.25130103619066363,0.9755367790083748,42,0 days 00:00:02.923945000,FirstDigitTouch
43,DeepSITH_Tracker,0.25692775914016425,0.9762472178715914,43,0 days 00:00:02.912311000,FirstDigitTouch
44,DeepSITH_Tracker,0.25979674611505205,0.9763393820036166,44,0 days 00:00:02.916575000,FirstDigitTouch
45,DeepSITH_Tracker,0.2563585200701048,0.9773090730286116,45,0 days 00:00:02.921474000,FirstDigitTouch
46,DeepSITH_Tracker,0.23636597423142328,0.9778078124649824,46,0 days 00:00:02.909220000,FirstDigitTouch
47,DeepSITH_Tracker,0.23018367959754277,0.9779361266650756,47,0 days 00:00:02.927306000,FirstDigitTouch
48,DeepSITH_Tracker,0.2296243261530179,0.977567776257842,48,0 days 00:00:02.914557000,FirstDigitTouch
49,DeepSITH_Tracker,0.23752894669852448,0.9790504237690651,49,0 days 00:00:02.918932000,FirstDigitTouch
50,DeepSITH_Tracker,0.23683150053524835,0.9787032077257862,50,0 days 00:00:02.914306000,FirstDigitTouch
51,DeepSITH_Tracker,0.21720337732581213,0.9792424719003914,51,0 days 00:00:02.911045000,FirstDigitTouch
52,DeepSITH_Tracker,0.21531801727991232,0.9796290051285838,52,0 days 00:00:02.922489000,FirstDigitTouch
53,DeepSITH_Tracker,0.22216492205159408,0.979451283051669,53,0 days 00:00:02.915469000,FirstDigitTouch
54,DeepSITH_Tracker,0.2257934557266369,0.9800220275793197,54,0 days 00:00:02.931078000,FirstDigitTouch
55,DeepSITH_Tracker,0.22430088994165093,0.9801092384932559,55,0 days 00:00:02.918345000,FirstDigitTouch
56,DeepSITH_Tracker,0.20258522764787482,0.9810058752464462,56,0 days 00:00:02.918152000,FirstDigitTouch
57,DeepSITH_Tracker,0.1975419340254517,0.9815575281380201,57,0 days 00:00:02.926743000,FirstDigitTouch
